cod;nome;período;valor
25;PB;1989;461
16;AP;1989;39
15;PA;1989;666
21;MA;1989;411
41;PR;1989;1112
43;RS;1989;1561
12;AC;1989;95
11;RO;1989;490
52;GO;1989;810
32;ES;1989;845
31;MG;1989;1216
50;MS;1989;371
14;RR;1989;113
27;AL;1989;805
22;PI;1989;142
35;SP;1989;9179
13;AM;1989;321
53;DF;1989;331
29;BA;1989;1086
42;SC;1989;354
17;TO;1989;63
24;RN;1989;236
28;SE;1989;139
51;MT;1989;471
23;CE;1989;607
33;RJ;1989;4290
26;PE;1989;2553
26;PE;1990;2742
16;AP;1990;46
14;RR;1990;127
21;MA;1990;442
15;PA;1990;748
42;SC;1990;388
29;BA;1990;867
41;PR;1990;1167
50;MS;1990;348
43;RS;1990;1704
53;DF;1990;463
25;PB;1990;440
11;RO;1990;555
22;PI;1990;109
52;GO;1990;681
33;RJ;1990;7101
27;AL;1990;719
12;AC;1990;64
51;MT;1990;415
23;CE;1990;555
31;MG;1990;1178
17;TO;1990;54
32;ES;1990;881
13;AM;1990;367
35;SP;1990;9503
28;SE;1990;151
24;RN;1990;200
23;CE;1991;607
13;AM;1991;403
27;AL;1991;665
50;MS;1991;388
31;MG;1991;1232
32;ES;1991;968
17;TO;1991;92
53;DF;1991;489
33;RJ;1991;5055
24;RN;1991;219
22;PI;1991;103
26;PE;1991;2944
35;SP;1991;9685
16;AP;1991;54
43;RS;1991;1694
52;GO;1991;852
25;PB;1991;401
12;AC;1991;106
42;SC;1991;355
15;PA;1991;810
28;SE;1991;317
41;PR;1991;1225
11;RO;1991;491
29;BA;1991;596
14;RR;1991;79
21;MA;1991;470
51;MT;1991;452
13;AM;1992;351
42;SC;1992;361
28;SE;1992;461
27;AL;1992;591
35;SP;1992;9116
22;PI;1992;92
16;AP;1992;73
33;RJ;1992;4536
31;MG;1992;1131
24;RN;1992;199
23;CE;1992;537
12;AC;1992;107
53;DF;1992;424
11;RO;1992;395
14;RR;1992;95
29;BA;1992;840
52;GO;1992;828
21;MA;1992;427
17;TO;1992;67
25;PB;1992;355
26;PE;1992;2531
43;RS;1992;1570
32;ES;1992;839
15;PA;1992;759
50;MS;1992;423
51;MT;1992;355
41;PR;1992;1092
53;DF;1993;553
27;AL;1993;619
33;RJ;1993;5367
31;MG;1993;1211
12;AC;1993;116
24;RN;1993;243
28;SE;1993;312
41;PR;1993;1237
52;GO;1993;734
25;PB;1993;365
23;CE;1993;702
51;MT;1993;356
13;AM;1993;350
29;BA;1993;1503
26;PE;1993;2763
50;MS;1993;457
14;RR;1993;69
11;RO;1993;498
43;RS;1993;1177
15;PA;1993;623
35;SP;1993;9224
22;PI;1993;117
16;AP;1993;66
42;SC;1993;371
17;TO;1993;93
32;ES;1993;1098
21;MA;1993;394
50;MS;1994;522
13;AM;1994;387
23;CE;1994;636
51;MT;1994;316
14;RR;1994;78
22;PI;1994;99
35;SP;1994;9981
43;RS;1994;1334
33;RJ;1994;6420
25;PB;1994;385
52;GO;1994;774
15;PA;1994;716
41;PR;1994;1260
28;SE;1994;344
16;AP;1994;125
21;MA;1994;314
24;RN;1994;211
12;AC;1994;88
53;DF;1994;556
17;TO;1994;109
42;SC;1994;346
11;RO;1994;399
27;AL;1994;615
32;ES;1994;1166
31;MG;1994;1118
29;BA;1994;1739
26;PE;1994;2593
17;TO;1995;77
21;MA;1995;385
50;MS;1995;636
16;AP;1995;124
41;PR;1995;1387
25;PB;1995;457
42;SC;1995;420
12;AC;1995;103
29;BA;1995;1536
28;SE;1995;255
24;RN;1995;247
52;GO;1995;784
22;PI;1995;114
11;RO;1995;330
51;MT;1995;583
15;PA;1995;700
35;SP;1995;11555
27;AL;1995;742
13;AM;1995;425
33;RJ;1995;8218
31;MG;1995;1214
23;CE;1995;845
43;RS;1995;1439
32;ES;1995;1154
53;DF;1995;629
14;RR;1995;87
26;PE;1995;2706
51;MT;1996;660
32;ES;1996;1191
43;RS;1996;1482
21;MA;1996;363
52;GO;1996;782
15;PA;1996;700
33;RJ;1996;8034
50;MS;1996;722
26;PE;1996;3022
41;PR;1996;1379
16;AP;1996;157
24;RN;1996;241
31;MG;1996;1261
29;BA;1996;1883
17;TO;1996;126
53;DF;1996;615
28;SE;1996;238
13;AM;1996;450
35;SP;1996;12320
23;CE;1996;885
14;RR;1996;107
27;AL;1996;741
11;RO;1996;301
22;PI;1996;117
12;AC;1996;104
25;PB;1996;636
42;SC;1996;412
53;DF;1997;613
52;GO;1997;744
32;ES;1997;1416
15;PA;1997;754
25;PB;1997;492
11;RO;1997;355
22;PI;1997;142
51;MT;1997;766
43;RS;1997;1648
31;MG;1997;1347
41;PR;1997;1581
50;MS;1997;729
24;RN;1997;235
12;AC;1997;100
16;AP;1997;140
14;RR;1997;90
33;RJ;1997;7954
28;SE;1997;190
21;MA;1997;333
13;AM;1997;468
23;CE;1997;1026
35;SP;1997;12537
17;TO;1997;112
29;BA;1997;1981
26;PE;1997;3713
42;SC;1997;423
27;AL;1997;642
21;MA;1998;278
28;SE;1998;175
42;SC;1998;414
53;DF;1998;633
24;RN;1998;222
26;PE;1998;4423
23;CE;1998;946
52;GO;1998;704
25;PB;1998;455
12;AC;1998;110
11;RO;1998;494
51;MT;1998;832
13;AM;1998;534
22;PI;1998;140
50;MS;1998;670
14;RR;1998;134
43;RS;1998;1524
15;PA;1998;774
16;AP;1998;160
17;TO;1998;129
32;ES;1998;1675
31;MG;1998;1511
33;RJ;1998;7573
29;BA;1998;1271
35;SP;1998;13986
27;AL;1998;582
41;PR;1998;1625
51;MT;1999;822
16;AP;1999;192
14;RR;1999;154
12;AC;1999;51
50;MS;1999;571
35;SP;1999;15763
33;RJ;1999;7261
29;BA;1999;913
42;SC;1999;385
27;AL;1999;554
26;PE;1999;4217
23;CE;1999;1104
15;PA;1999;642
25;PB;1999;403
52;GO;1999;853
43;RS;1999;1533
22;PI;1999;133
24;RN;1999;224
53;DF;1999;659
17;TO;1999;137
41;PR;1999;1706
32;ES;1999;1524
31;MG;1999;1596
13;AM;1999;527
11;RO;1999;432
21;MA;1999;262
28;SE;1999;329
35;SP;2000;15591
33;RJ;2000;7350
17;TO;2000;176
32;ES;2000;1435
16;AP;2000;156
15;PA;2000;806
43;RS;2000;1668
11;RO;2000;466
14;RR;2000;130
29;BA;2000;1242
27;AL;2000;727
50;MS;2000;651
22;PI;2000;230
13;AM;2000;552
12;AC;2000;106
51;MT;2000;990
23;CE;2000;1238
42;SC;2000;433
53;DF;2000;687
26;PE;2000;4290
25;PB;2000;507
52;GO;2000;1085
24;RN;2000;257
28;SE;2000;410
41;PR;2000;1789
31;MG;2000;2109
21;MA;2000;352
35;SP;2001;15773
23;CE;2001;1284
11;RO;2001;573
53;DF;2001;693
24;RN;2001;322
52;GO;2001;1167
25;PB;2001;484
51;MT;2001;973
12;AC;2001;121
13;AM;2001;485
50;MS;2001;621
14;RR;2001;108
43;RS;2001;1854
15;PA;2001;966
16;AP;2001;182
32;ES;2001;1452
17;TO;2001;212
21;MA;2001;563
31;MG;2001;2366
33;RJ;2001;7362
29;BA;2001;1622
28;SE;2001;518
41;PR;2001;2052
42;SC;2001;477
27;AL;2001;830
22;PI;2001;262
26;PE;2001;4710
23;CE;2002;1445
21;MA;2002;606
27;AL;2002;991
11;RO;2002;615
35;SP;2002;14526
29;BA;2002;1759
33;RJ;2002;8335
31;MG;2002;2994
17;TO;2002;170
32;ES;2002;1644
16;AP;2002;181
15;PA;2002;1192
43;RS;2002;1912
14;RR;2002;122
50;MS;2002;684
22;PI;2002;308
13;AM;2002;513
12;AC;2002;151
51;MT;2002;948
26;PE;2002;4396
42;SC;2002;585
25;PB;2002;607
52;GO;2002;1370
24;RN;2002;299
53;DF;2002;641
41;PR;2002;2266
28;SE;2002;556
24;RN;2003;405
42;SC;2003;670
41;PR;2003;2555
21;MA;2003;795
27;AL;2003;1039
50;MS;2003;705
13;AM;2003;558
28;SE;2003;469
35;SP;2003;14048
23;CE;2003;1563
25;PB;2003;616
29;BA;2003;2166
