cod,nome,período,valor,regiao
25,PB,1989,461,Nordeste
16,AP,1989,39,Norte
15,PA,1989,666,Norte
21,MA,1989,411,Nordeste
41,PR,1989,1112,Sul
43,RS,1989,1561,Sul
12,AC,1989,95,Norte
11,RO,1989,490,Norte
52,GO,1989,810,Centro-Oeste
32,ES,1989,845,Sudeste
31,MG,1989,1216,Sudeste
50,MS,1989,371,Centro-Oeste
14,RR,1989,113,Norte
27,AL,1989,805,Nordeste
22,PI,1989,142,Nordeste
35,SP,1989,9179,Sudeste
13,AM,1989,321,Norte
53,DF,1989,331,Centro-Oeste
29,BA,1989,1086,Nordeste
42,SC,1989,354,Sul
17,TO,1989,63,Norte
24,RN,1989,236,Nordeste
28,SE,1989,139,Nordeste
51,MT,1989,471,Centro-Oeste
23,CE,1989,607,Nordeste
33,RJ,1989,4290,Sudeste
26,PE,1989,2553,Nordeste
26,PE,1990,2742,Nordeste
16,AP,1990,46,Norte
14,RR,1990,127,Norte
21,MA,1990,442,Nordeste
15,PA,1990,748,Norte
42,SC,1990,388,Sul
29,BA,1990,867,Nordeste
41,PR,1990,1167,Sul
50,MS,1990,348,Centro-Oeste
43,RS,1990,1704,Sul
53,DF,1990,463,Centro-Oeste
25,PB,1990,440,Nordeste
11,RO,1990,555,Norte
22,PI,1990,109,Nordeste
52,GO,1990,681,Centro-Oeste
33,RJ,1990,7101,Sudeste
27,AL,1990,719,Nordeste
12,AC,1990,64,Norte
51,MT,1990,415,Centro-Oeste
23,CE,1990,555,Nordeste
31,MG,1990,1178,Sudeste
17,TO,1990,54,Norte
32,ES,1990,881,Sudeste
13,AM,1990,367,Norte
35,SP,1990,9503,Sudeste
28,SE,1990,151,Nordeste
24,RN,1990,200,Nordeste
23,CE,1991,607,Nordeste
13,AM,1991,403,Norte
27,AL,1991,665,Nordeste
50,MS,1991,388,Centro-Oeste
31,MG,1991,1232,Sudeste
32,ES,1991,968,Sudeste
17,TO,1991,92,Norte
53,DF,1991,489,Centro-Oeste
33,RJ,1991,5055,Sudeste
24,RN,1991,219,Nordeste
22,PI,1991,103,Nordeste
26,PE,1991,2944,Nordeste
35,SP,1991,9685,Sudeste
16,AP,1991,54,Norte
43,RS,1991,1694,Sul
52,GO,1991,852,Centro-Oeste
25,PB,1991,401,Nordeste
12,AC,1991,106,Norte
42,SC,1991,355,Sul
15,PA,1991,810,Norte
28,SE,1991,317,Nordeste
41,PR,1991,1225,Sul
11,RO,1991,491,Norte
29,BA,1991,596,Nordeste
14,RR,1991,79,Norte
21,MA,1991,470,Nordeste
51,MT,1991,452,Centro-Oeste
13,AM,1992,351,Norte
42,SC,1992,361,Sul
28,SE,1992,461,Nordeste
27,AL,1992,591,Nordeste
35,SP,1992,9116,Sudeste
22,PI,1992,92,Nordeste
16,AP,1992,73,Norte
33,RJ,1992,4536,Sudeste
31,MG,1992,1131,Sudeste
24,RN,1992,199,Nordeste
23,CE,1992,537,Nordeste
12,AC,1992,107,Norte
53,DF,1992,424,Centro-Oeste
11,RO,1992,395,Norte
14,RR,1992,95,Norte
29,BA,1992,840,Nordeste
52,GO,1992,828,Centro-Oeste
21,MA,1992,427,Nordeste
17,TO,1992,67,Norte
25,PB,1992,355,Nordeste
26,PE,1992,2531,Nordeste
43,RS,1992,1570,Sul
32,ES,1992,839,Sudeste
15,PA,1992,759,Norte
50,MS,1992,423,Centro-Oeste
51,MT,1992,355,Centro-Oeste
41,PR,1992,1092,Sul
53,DF,1993,553,Centro-Oeste
27,AL,1993,619,Nordeste
33,RJ,1993,5367,Sudeste
31,MG,1993,1211,Sudeste
12,AC,1993,116,Norte
24,RN,1993,243,Nordeste
28,SE,1993,312,Nordeste
41,PR,1993,1237,Sul
52,GO,1993,734,Centro-Oeste
25,PB,1993,365,Nordeste
23,CE,1993,702,Nordeste
51,MT,1993,356,Centro-Oeste
13,AM,1993,350,Norte
